시도별(1),시도별(2),시도별(3),종이류,플라스틱류,유리류,종이류,유리병류,플라스틱류
합계,발생량,소계,4985.9,3752.8,639.9,3889.1,1223.8,1226.2
합계,처리량,매립,1125,879.1,404.1,0,0,0
합계,처리량,소 각,3421.1,2495.3,200.2,0,0,0
합계,처리량,재활용,439.8,378.4,35.6,3889.1,1223.8,1226.2
서울,발생량,소계,785.9,456.5,60,1108.5,354.2,253.5
서울,처리량,매 립,192.6,118.7,37.6,0,0,0
서울,처리량,소 각,593.3,337.8,22.4,0,0,0
서울,처리량,재활용,0,0,0,1108.5,354.2,253.5
부산,발생량,소계,263.6,161.8,15.4,478.4,50,157
부산,처리량,매 립,4.3,14,1,0,0,0
부산,처리량,소 각,100,50.4,8.1,0,0,0
부산,처리량,재활용,159.3,97.4,6.3,478.4,50,157
대구,발생량,소계,254.1,223.8,28.7,191.4,97.7,70.9
대구,처리량,매 립,84.8,77.8,11.7,0,0,0
대구,처리량,소 각,51.4,48.8,5.5,0,0,0
대구,처리량,재활용,117.9,97.2,11.5,191.4,97.7,70.9
인천,발생량,소계,184,127.9,46.9,127.1,27,42.9
인천,처리량,매 립,35.2,26.4,42.5,0,0,0
인천,처리량,소 각,148.8,101.5,4.4,0,0,0
인천,처리량,재활용,0,0,0,127.1,27,42.9
광주,발생량,소계,113.3,95.2,17.1,10.2,18.4,37.1
광주,처리량,매 립,105,93.2,16.8,0,0,0
광주,처리량,소 각,0,0,0,0,0,0
광주,처리량,재활용,8.3,2,0.3,10.2,18.4,37.1
대전,발생량,소계,148,89.9,12.9,138.7,70.4,73
대전,처리량,매 립,57.5,33,9.8,0,0,0
대전,처리량,소 각,67.1,37.6,0.6,0,0,0
대전,처리량,재활용,23.4,19.3,2.5,138.7,70.4,73
울산,발생량,소계,83.2,62.9,45,85.1,53.8,34.2
울산,처리량,매 립,12.7,12.2,35.5,0,0,0
울산,처리량,소 각,70.5,50.7,9.5,0,0,0
울산,처리량,재활용,0,0,0,85.1,53.8,34.2
세종,발생량,소계,59.3,37,0.6,14.9,0.8,0.8
세종,처리량,매립,6.9,4.3,0.1,0,0,0
세종,처리량,소각,32.2,20.1,0.3,0,0,0
세종,처리량,재활용,20.2,12.6,0.2,14.9,0.8,0.8
경기,발생량,소계,1130.1,1001.7,133,334.8,283.2,268.5
경기,처리량,매 립,152.1,112.4,56.7,0,0,0
경기,처리량,소 각,958.6,869.4,72.7,0,0,0
경기,처리량,재활용,19.4,19.9,3.6,334.8,283.2,268.5
강원,발생량,소계,214.5,164,42.4,267.3,35.9,30.9
강원,처리량,매 립,58.4,50,41.1,0,0,0
강원,처리량,소 각,114.2,86,1.1,0,0,0
강원,처리량,재활용,41.9,28,0.2,267.3,35.9,30.9
충북,발생량,소계,195.8,156.5,24.1,247.3,18.6,14.1
충북,처리량,매 립,27.6,19.7,8.9,0,0,0
충북,처리량,소 각,167.7,135.8,14.8,0,0,0
충북,처리량,재활용,0.5,1,0.4,247.3,18.6,14.1
충남,발생량,소계,262.9,241.2,42.8,132.8,34.1,38.2
충남,처리량,매 립,13.7,12.2,17.3,0,0,0
충남,처리량,소 각,243.4,225.6,24.3,0,0,0
충남,처리량,재활용,5.8,3.4,1.2,132.8,34.1,38.2
전북,발생량,소계,254,191.8,26.4,144.3,22.3,58.9
전북,처리량,매 립,70.5,59.6,21.7,0,0,0
전북,처리량,소 각,175,122,4.4,0,0,0
전북,처리량,재활용,8.5,10.2,0.3,144.3,22.3,58.9
전남,발생량,소계,244.2,184,42.1,35.7,17.5,14.2
전남,처리량,매 립,142.7,105.8,34.3,0,0,0
전남,처리량,소 각,81.8,50.8,4.1,0,0,0
전남,처리량,재활용,19.7,27.4,3.7,35.7,17.5,14.2
경북,발생량,소계,350.6,296,31.2,77.8,34.5,21
경북,처리량,매 립,104.1,80.7,21.4,0,0,0
경북,처리량,소 각,239.3,161.2,8.2,0,0,0
경북,처리량,재활용,7.2,54.1,1.6,77.8,34.5,21
경남,발생량,소계,351.4,242,52.9,283.1,86.6,85
경남,처리량,매 립,56.3,56.8,29.3,0,0,0
경남,처리량,소 각,287.4,179.3,19.8,0,0,0
경남,처리량,재활용,7.7,5.9,3.8,283.1,86.6,85
제주,발생량,소계,91,20.6,18.4,211.7,18.8,26
제주,처리량,매 립,0.6,2.3,18.4,0,0,0
제주,처리량,소 각,90.4,18.3,0,0,0,0
제주,처리량,재활용,0,0,0,211.7,18.8,26
