시점,매립,소각,재활용
1996,29066,2148.9,11008.2
1997,25986.4,2684.2,11659.8
1998,21825.6,3310.9,13028.7
1999,20402.4,3936.5,14330.1
2000,18956.3,4730.7,15697.2
2001,17557.5,5908.5,17302.2
2002,17508,6619.1,18655.8
2003,17205.8,6761.6,18950.7
2004,14954.6,6524.4,20099
2005,11139.4,6933.7,22493.4
2006,10334,7500.7,22820.9
2007,9352.3,8514.1,24690.5
2008,8503.5,8739.8,25025.6
2009,7544.1,9123,25418.7
2010,6989.8,9629.9,24300.7
2011,6684.3,10671.5,23585.9
2012,6505,11111.2,24028
2013,6433.2,11033.2,23076.3
2014,6271.7,11530.6,24552.9
2015,5953.2,12074.9,25383.1
2016,6465.5,12389,26605.8
2017,6229.1,12016.7,26763.1
2018,6545.2,12429.3,27774.8
