year,landfill,incineration,recycling,total
1996,29066.0,2148.9,11008.2,42223.100000000006
1997,25986.4,2684.2,11659.8,40330.4
1998,21825.6,3310.9,13028.7,38165.2
1999,20402.4,3936.5,14330.1,38669.0
2000,18956.3,4730.7,15697.2,39384.2
2001,17557.5,5908.5,17302.2,40768.2
2002,17508.0,6619.1,18655.8,42782.899999999994
2003,17205.8,6761.6,18950.7,42918.100000000006
2004,14954.6,6524.4,20099.0,41578.0
2005,11139.4,6933.7,22493.4,40566.5
2006,10334.0,7500.7,22820.9,40655.600000000006
2007,9352.3,8514.1,24690.5,42556.9
2008,8503.5,8739.8,25025.6,42268.899999999994
2009,7544.1,9123.0,25418.7,42085.8
2010,6989.8,9629.9,24300.7,40920.4
2011,6684.3,10671.5,23585.9,40941.7
2012,6505.0,11111.2,24028.0,41644.2
2013,6433.2,11033.2,23076.3,40542.7
2014,6271.7,11530.6,24552.9,42355.2
2015,5953.2,12074.9,25383.1,43411.2
2016,6465.5,12389.0,26605.8,45460.3
2017,6229.1,12016.7,26763.1,45008.9
2018,6545.2,12429.3,27774.8,46749.3
2019,6601.341455404738,14320.129423499562,29188.47288493156,50109.943763835865
2020,6555.766356237585,14856.906700810569,30011.838089162095,51424.51114621025
2021,6511.995011799149,15330.87286437705,30826.779514945643,52669.64739112184
2022,6469.815621077774,15793.979543826765,31636.325389974787,53900.12055487932
2023,6429.180909650522,16274.953094855144,32442.41533746184,55146.549341967504
2024,6390.033507547867,16776.420883154897,33246.29171385675,56412.74610455951
2025,6352.319036803078,17288.14954302516,34048.75026626076,57689.218846088996
2026,6315.985042574927,17799.970284361956,34850.3006820902,58966.256009027085
2027,6280.980995122324,18307.38961045814,35651.26942343582,60239.640029016286
2028,6247.25821388025,18810.888741107465,36451.86559394286,61510.01254893057
2029,6214.769800185458,19312.854923931456,37252.22312749122,62779.84785160814
2030,6183.470572021796,19815.18235656503,38052.427810649395,64051.08073923622
2031,6153.317001187477,20318.497927893997,38852.53459094329,65324.34952002476
2032,6124.267152759715,20822.526754237075,39652.578663050284,66599.37257004707
2033,6096.280626775352,21326.752653974785,40452.58256966536,67875.6158504155
2034,6069.318502046162,21830.84068512713,41252.560749707554,69152.71993688084
2035,6043.343282030696,22334.72108740213,42052.52245151131,70430.58682094413
2036,6018.318842687404,22838.478688696403,42852.47359876732,71709.27113015113
